2022.01.04 11:09:26, AUV切换为遥控模式！
2022.01.04 11:09:46, AUV切换为自主模式！
2022.01.04 11:09:50, AUV执行定深定向：定深1.0m，定向1.0度，巡航速度10，持续时间10秒！
2022.01.04 11:09:55, 任务开始执行！
2022.01.04 11:10:14, AUV设定原点！
2022.01.04 11:10:16, AUV设定原点！
2022.01.04 11:10:20, AUV执行返航任务：巡航速度10，持续时间10秒！
2022.03.10,17:04:23, 获取舵-桨控制参数
2022.03.10,17:04:30, 获取舵-桨控制参数
2022.03.10,17:04:36, 不追加操纵性试验！
2022.03.10,17:04:38, 追加回转试验！
2022.03.10,17:04:42, 任务开始执行！
2022.03.10,17:06:23, AUV执行返航任务：巡航速度250，持续时间25秒！
2022.03.10,17:06:25, 任务停止执行！
2022.03.10,17:06:29, AUV执行返航任务：巡航速度250，持续时间25秒！
2022.03.10,17:06:34, 任务开始执行！
2022.03.10,17:07:08, 任务停止执行！
2022.03.10,17:07:27, 不追加操纵性试验！
2022.03.10,17:07:32, AUV执行定深定向：定深0.0m，定向120.0度，巡航速度250，持续时间30秒！
2022.03.10,17:07:36, 追加回转试验！
2022.03.10,17:07:48, 读取参数成功！
2022.03.10,17:07:59, AUV执行定深定向：定深0.0m，定向120.0度，巡航速度250，持续时间30秒！
2022.03.10,17:08:02, 任务开始执行！
2022.03.10,17:10:13, 任务停止执行！
2022.03.10,17:10:29, 启用航向控制！
2022.03.10,17:10:40, 读取参数成功！
2022.03.10,17:10:44, 读取参数成功！
2022.03.10,17:10:45, 读取参数成功！
2022.03.10,17:10:48, 读取参数成功！
2022.03.10,17:10:54, 读取参数成功！
2022.03.10,17:10:59, 读取参数成功！
2022.03.10,17:11:22, 不追加操纵性试验！
2022.03.10,17:11:25, 追加Z形试验！
2022.03.10,17:11:28, AUV执行定深定向：定深0.0m，定向120.0度，巡航速度250，持续时间30秒！
2022.03.10,17:11:33, 任务开始执行！
2022.03.10,17:13:01, 读取参数成功！
2022.03.10,17:13:05, 读取参数成功！
2022.03.10,17:13:20, 任务停止执行！
2022.03.10,17:13:26, AUV执行定深定向：定深0.0m，定向270.0度，巡航速度250，持续时间30秒！
2022.03.10,17:13:35, 不追加操纵性试验！
2022.03.10,17:13:39, 追加Z形试验！
2022.03.10,17:13:45, AUV执行定深定向：定深0.0m，定向270.0度，巡航速度250，持续时间40秒！
2022.03.10,17:13:49, 不追加操纵性试验！
2022.03.10,17:13:54, 追加Z形试验！
2022.03.10,17:13:57, AUV执行定深定向：定深0.0m，定向270.0度，巡航速度250，持续时间40秒！
2022.03.10,17:14:00, 任务开始执行！
2022.03.10,17:14:45, 任务停止执行！
2022.03.10,17:14:50, AUV执行返航任务：巡航速度250，持续时间40秒！
2022.03.10,17:14:54, 任务开始执行！
2022.03.10,17:15:29, 任务停止执行！
2022.03.10,17:22:16, AUV切换为遥控模式！
2022.03.10,17:22:20, AUV切换为自主模式！
2022.03.10,17:22:41, AUV设定原点！
2022.03.10,17:22:48, 不追加操纵性试验！
2022.03.10,17:22:56, AUV下达航点序列成功！
2022.03.10,17:22:57, AUV执行多航点任务：巡航速度250，持续时间40秒！
2022.03.10,17:23:17, AUV下达航点序列成功！
2022.03.10,17:23:18, AUV执行多航点任务：巡航速度120，持续时间120秒！
2022.03.10,17:23:26, AUV下达航点序列成功！
2022.03.10,17:23:27, AUV执行多航点任务：巡航速度120，持续时间120秒！
2022.03.10,17:23:36, 预设性能跟踪！
2022.03.10,17:23:42, AUV下达航点序列成功！
2022.03.10,17:23:43, AUV执行多航点任务：巡航速度120，持续时间120秒！
2022.03.10,17:23:54, 任务开始执行！
2022.03.10,17:24:17, 任务停止执行！
2022.03.10,17:24:47, AUV切换为遥控模式！
2022.03.15,09:37:31, 深度预设性能控制！
2022.03.15,09:37:36, AUV切换为自主模式！
2022.03.15,09:37:59, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间40秒！
2022.03.15,09:38:05, 获取舵-桨控制参数
2022.03.15,09:38:08, 获取舵-桨控制参数
2022.03.15,09:38:17, 获取舵-桨控制参数
2022.03.15,09:38:21, 获取舵-桨控制参数
2022.03.15,09:38:47, 读取参数成功！
2022.03.15,09:38:56, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间40秒！
2022.03.15,09:39:06, 任务开始执行！
2022.03.15,09:56:58, AUV初始化成功！
2022.03.15,09:57:01, AUV切换为遥控模式！
2022.03.15,09:57:02, AUV切换为自主模式！
2022.03.15,09:57:07, 任务停止执行！
2022.03.15,09:57:11, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间40秒！
2022.03.15,09:57:16, 读取参数成功！
2022.03.15,09:57:23, 深度PID控制！
2022.03.15,09:57:24, 深度预设性能控制！
2022.03.15,09:57:27, 已更新控制配置！
2022.03.15,09:57:44, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间40秒！
2022.03.15,09:58:44, AUV初始化成功！
2022.03.15,09:58:45, AUV切换为遥控模式！
2022.03.15,09:58:47, AUV切换为自主模式！
2022.03.15,09:58:54, 已更新控制配置！
2022.03.15,09:58:54, 深度PID控制！
2022.03.15,09:58:57, 深度预设性能控制！
2022.03.15,09:59:01, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间40秒！
2022.03.15,09:59:03, 读取参数成功！
2022.03.15,09:59:07, 任务开始执行！
2022.03.15,10:00:01, AUV初始化成功！
2022.03.15,10:00:03, AUV切换为遥控模式！
2022.03.15,10:00:28, AUV切换为自主模式！
2022.03.15,10:00:31, 任务停止执行！
2022.03.15,10:00:33, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间40秒！
2022.03.15,10:00:37, 已更新控制配置！
2022.03.15,10:00:37, 深度PID控制！
2022.03.15,10:00:41, 任务开始执行！
2022.03.15,10:01:10, 任务停止执行！
2022.03.15,10:19:05, AUV初始化成功！
2022.03.15,10:19:07, AUV切换为遥控模式！
2022.03.15,10:19:08, AUV切换为自主模式！
2022.03.15,10:19:11, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间40秒！
2022.03.15,10:19:17, 深度预设性能控制！
2022.03.15,10:19:20, 读取参数成功！
2022.03.15,10:19:32, 任务开始执行！
2022.03.15,15:14:29, 深度预设性能控制！
2022.03.15,15:14:33, 已更新控制配置！
2022.03.15,15:15:01, AUV切换为自主模式！
2022.03.15,15:15:03, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间30秒！
2022.03.15,15:15:08, 获取舵-桨控制参数
2022.03.15,15:15:20, 读取参数成功！
2022.03.15,15:15:37, 任务开始执行！
2022.03.15,15:35:04, 任务停止执行！
2022.03.15,15:35:12, 深度ADRC控制！
2022.03.15,15:35:14, 深度预设性能控制！
2022.03.15,15:35:23, 读取参数成功！
2022.03.15,15:35:39, AUV切换为遥控模式！
2022.03.15,15:35:43, AUV切换为自主模式！
2022.03.15,15:35:45, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间30秒！
2022.03.15,15:35:48, 任务开始执行！
2022.03.15,15:36:40, 读取参数成功！
2022.03.15,15:36:42, 读取参数成功！
2022.03.15,15:36:46, 任务停止执行！
2022.03.15,15:36:49, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间30秒！
2022.03.15,15:36:51, 任务开始执行！
2022.03.15,16:20:37, 已更新控制配置！
2022.03.15,16:20:37, 深度PID控制！
2022.03.15,16:21:04, 已更新控制配置！
2022.03.15,16:21:04, 深度PID控制！
2022.03.15,16:26:20, 深度MPC
2022.03.15,16:26:25, AUV切换为自主模式！
2022.03.15,16:26:40, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间30秒！
2022.03.15,16:26:46, 任务开始执行！
2022.03.15,16:34:55, AUV初始化成功！
2022.03.15,16:34:59, AUV切换为遥控模式！
2022.03.15,16:35:00, AUV切换为自主模式！
2022.03.15,16:35:03, 任务停止执行！
2022.03.15,16:35:05, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间30秒！
2022.03.15,16:35:09, 已更新控制配置！
2022.03.15,16:35:09, 深度PID控制！
2022.03.15,16:35:11, 深度MPC
2022.03.15,16:35:15, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间30秒！
2022.03.15,16:35:19, 任务开始执行！
2022.03.15,16:44:44, AUV初始化成功！
2022.03.15,16:44:46, AUV切换为遥控模式！
2022.03.15,16:44:48, AUV切换为自主模式！
2022.03.15,16:44:51, 任务停止执行！
2022.03.15,16:44:52, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间30秒！
2022.03.15,16:44:57, 已更新控制配置！
2022.03.15,16:44:57, 深度PID控制！
2022.03.15,16:45:01, 深度MPC
2022.03.15,16:45:03, 已更新控制配置！
2022.03.15,16:45:05, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度60，持续时间30秒！
2022.03.15,16:45:09, 任务开始执行！
2022.03.22,18:15:46, AUV初始化成功！
2022.03.22,18:16:41, 读取参数成功！
2022.03.22,18:16:47, 深度预设性能控制！
2022.03.22,18:16:52, AUV切换为遥控模式！
2022.03.22,18:16:54, AUV切换为自主模式！
2022.03.22,18:17:15, 已更新控制配置！
2022.03.22,18:17:19, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度30，持续时间30秒！
2022.03.22,18:17:35, 任务开始执行！
2022.03.22,18:17:58, 任务停止执行！
2022.03.22,18:18:12, 读取参数成功！
2022.03.22,18:18:18, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度30，持续时间30秒！
2022.03.22,18:18:19, 任务开始执行！
2022.03.22,18:19:53, AUV初始化成功！
2022.03.23,18:00:16, AUV初始化成功！
2022.03.23,18:02:51, 读取参数成功！
2022.03.23,18:04:24, 读取参数成功！
2022.03.23,18:04:33, 深度预设性能控制！
2022.03.23,18:04:43, AUV切换为自主模式！
2022.03.23,18:05:09, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:05:24, 任务开始执行！
2022.03.23,18:05:36, 任务停止执行！
2022.03.23,18:06:03, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:06:11, 任务开始执行！
2022.03.23,18:07:32, 获取舵-桨控制参数
2022.03.23,18:07:47, 读取参数成功！
2022.03.23,18:08:16, 任务停止执行！
2022.03.23,18:08:24, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:08:30, 任务开始执行！
2022.03.23,18:09:20, LED已打开！
2022.03.23,18:09:48, LED已关闭！
2022.03.23,18:09:57, 读取参数成功！
2022.03.23,18:10:26, 读取参数成功！
2022.03.23,18:10:38, 读取参数成功！
2022.03.23,18:10:45, 任务停止执行！
2022.03.23,18:10:49, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:11:10, LED已打开！
2022.03.23,18:11:17, 任务开始执行！
2022.03.23,18:22:56, 获取舵-桨控制参数
2022.03.23,18:23:10, 获取舵-桨控制参数
2022.03.23,18:23:23, LED已关闭！
2022.03.23,18:23:32, 任务停止执行！
2022.03.23,18:23:40, 读取参数成功！
2022.03.23,18:23:45, 已更新控制配置！
2022.03.23,18:23:51, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:23:59, 获取舵-桨控制参数
2022.03.23,18:24:05, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:24:09, 任务开始执行！
2022.03.23,18:24:20, 任务停止执行！
2022.03.23,18:24:32, 获取舵-桨控制参数
2022.03.23,18:24:37, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:24:50, 任务开始执行！
2022.03.23,18:24:59, 任务停止执行！
2022.03.23,18:25:24, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:25:29, 任务开始执行！
2022.03.23,18:26:24, LED已打开！
2022.03.23,18:27:03, 获取舵-桨控制参数
2022.03.23,18:27:38, 获取舵-桨控制参数
2022.03.23,18:27:43, 任务停止执行！
2022.03.23,18:27:47, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:27:55, 任务开始执行！
2022.03.23,18:29:32, 获取舵-桨控制参数
2022.03.23,18:29:49, 任务停止执行！
2022.03.23,18:29:52, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:29:58, LED已关闭！
2022.03.23,18:30:02, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:30:06, 任务开始执行！
2022.03.23,18:32:06, 获取舵-桨控制参数
2022.03.23,18:32:13, 任务停止执行！
2022.03.23,18:32:17, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:32:25, 任务开始执行！
2022.03.23,18:33:54, 获取舵-桨控制参数
2022.03.23,18:33:59, 任务停止执行！
2022.03.23,18:34:03, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:34:20, 任务开始执行！
2022.03.23,18:36:10, 获取舵-桨控制参数
2022.03.23,18:36:22, 任务停止执行！
2022.03.23,18:36:37, 获取舵-桨控制参数
2022.03.23,18:36:42, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间100秒！
2022.03.23,18:36:51, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:36:58, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:37:10, 读取参数成功！
2022.03.23,18:37:15, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,18:37:22, 任务开始执行！
2022.03.23,18:38:48, 任务停止执行！
2022.03.23,18:38:57, AUV切换为遥控模式！
2022.03.23,18:40:20, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间90秒！
2022.03.23,18:40:27, 获取舵-桨控制参数
2022.03.23,18:41:01, 读取参数成功！
2022.03.23,18:41:08, 读取参数成功！
2022.03.23,18:41:15, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间90秒！
2022.03.23,18:41:26, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间90秒！
2022.03.23,18:41:31, AUV切换为自主模式！
2022.03.23,18:41:34, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间90秒！
2022.03.23,18:41:40, 获取舵-桨控制参数
2022.03.23,18:41:48, 任务开始执行！
2022.03.23,18:56:49, 任务停止执行！
2022.03.23,18:57:01, 获取舵-桨控制参数
2022.03.23,18:57:06, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间90秒！
2022.03.23,18:57:17, 任务开始执行！
2022.03.23,18:59:14, 任务停止执行！
2022.03.23,18:59:24, 读取参数成功！
2022.03.23,18:59:36, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:00:23, 获取舵-桨控制参数
2022.03.23,19:00:44, 读取参数成功！
2022.03.23,19:00:53, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:01:01, 任务开始执行！
2022.03.23,19:01:06, 任务停止执行！
2022.03.23,19:01:19, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:01:29, 任务开始执行！
2022.03.23,19:02:11, 任务停止执行！
2022.03.23,19:02:32, 读取参数成功！
2022.03.23,19:03:07, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:04:02, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:04:08, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:04:38, 获取舵-桨控制参数
2022.03.23,19:04:44, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:04:50, 任务开始执行！
2022.03.23,19:07:22, 任务停止执行！
2022.03.23,19:07:25, AUV执行定深定向：定深3.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:07:43, AUV执行定深定向：定深3.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:07:47, AUV执行定深定向：定深3.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:07:52, 任务开始执行！
2022.03.23,19:16:40, AUV切换为遥控模式！
2022.03.23,19:16:42, AUV切换为自主模式！
2022.03.23,19:18:50, AUV切换为遥控模式！
2022.03.23,19:33:32, AUV切换为自主模式！
2022.03.23,19:33:50, 读取参数成功！
2022.03.23,19:33:57, 任务停止执行！
2022.03.23,19:36:19, 读取参数成功！
2022.03.23,19:36:25, 深度PID控制！
2022.03.23,19:36:28, 深度预设性能控制！
2022.03.23,19:36:45, 已更新控制配置！
2022.03.23,19:36:50, AUV执行定深定向：定深3.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:36:55, 任务开始执行！
2022.03.23,19:41:30, 读取参数成功！
2022.03.23,19:43:16, 任务停止执行！
2022.03.23,19:43:19, AUV执行定深定向：定深3.0m，定向0.0度，巡航速度90，持续时间90秒！
2022.03.23,19:43:26, 任务开始执行！
2022.03.23,19:45:38, 读取参数成功！
2022.03.23,19:45:45, 读取参数成功！
2022.03.23,19:46:00, AUV切换为遥控模式！
2022.03.23,19:46:03, AUV切换为自主模式！
2022.03.23,19:46:16, 任务停止执行！
2022.03.23,19:46:25, 获取舵-桨控制参数
2022.03.23,19:47:01, 读取参数成功！
2022.03.23,19:47:07, AUV执行定深定向：定深3.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:47:15, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:47:29, 任务开始执行！
2022.03.23,19:48:00, 任务停止执行！
2022.03.23,19:48:15, 读取参数成功！
2022.03.23,19:48:26, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:48:36, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:48:40, 任务开始执行！
2022.03.23,19:49:06, 任务停止执行！
2022.03.23,19:49:23, 读取参数成功！
2022.03.23,19:49:38, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,19:49:48, 任务开始执行！
2022.03.23,19:50:13, 任务停止执行！
2022.03.23,20:03:27, AUV初始化成功！
2022.03.23,20:03:32, AUV切换为遥控模式！
2022.03.23,20:03:36, AUV切换为自主模式！
2022.03.23,20:03:41, 已更新控制配置！
2022.03.23,20:03:41, 深度PID控制！
2022.03.23,20:03:44, 深度预设性能控制！
2022.03.23,20:03:57, 读取参数成功！
2022.03.23,20:04:11, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度30，持续时间60秒！
2022.03.23,20:04:15, 任务开始执行！
2022.03.23,20:04:55, 任务停止执行！
2022.03.23,20:06:23, 读取参数成功！
2022.03.23,20:06:28, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度30，持续时间60秒！
2022.03.23,20:06:34, 任务开始执行！
2022.03.23,20:07:11, 任务停止执行！
2022.03.23,20:20:51, AUV初始化成功！
2022.03.23,20:20:54, AUV切换为遥控模式！
2022.03.23,20:20:58, AUV切换为自主模式！
2022.03.23,20:21:03, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度30，持续时间60秒！
2022.03.23,20:21:15, 读取参数成功！
2022.03.23,20:21:26, 已更新控制配置！
2022.03.23,20:21:27, 深度PID控制！
2022.03.23,20:21:31, 深度预设性能控制！
2022.03.23,20:21:39, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度30，持续时间60秒！
2022.03.23,20:21:42, 任务开始执行！
2022.03.23,20:22:18, 任务停止执行！
2022.03.23,20:22:35, 读取参数成功！
2022.03.23,20:22:45, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度30，持续时间60秒！
2022.03.23,20:22:51, 任务开始执行！
2022.03.23,20:23:07, 任务停止执行！
2022.03.23,20:28:33, AUV切换为遥控模式！
2022.03.23,20:28:37, AUV切换为自主模式！
2022.03.23,20:28:41, 已更新控制配置！
2022.03.23,20:28:41, 深度PID控制！
2022.03.23,20:28:46, 深度预设性能控制！
2022.03.23,20:28:51, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度30，持续时间60秒！
2022.03.23,20:28:55, 任务开始执行！
2022.03.23,20:37:08, AUV初始化成功！
2022.03.23,20:37:11, AUV切换为遥控模式！
2022.03.23,20:37:14, AUV切换为自主模式！
2022.03.23,20:37:18, 已更新控制配置！
2022.03.23,20:37:19, 深度PID控制！
2022.03.23,20:37:25, 深度预设性能控制！
2022.03.23,20:37:40, 读取参数成功！
2022.03.23,20:37:45, 读取参数成功！
2022.03.23,20:37:49, 已更新控制配置！
2022.03.23,20:37:54, 已更新控制配置！
2022.03.23,20:38:00, 任务停止执行！
2022.03.23,20:38:03, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度30，持续时间60秒！
2022.03.23,20:38:06, 任务开始执行！
2022.03.23,20:38:20, 任务停止执行！
2022.03.23,20:43:12, 读取参数成功！
2022.03.23,20:43:19, 读取参数成功！
2022.03.23,20:43:26, 读取参数成功！
2022.03.23,20:43:36, 读取参数成功！
2022.03.23,20:43:50, AUV切换为遥控模式！
2022.03.23,20:43:54, AUV切换为自主模式！
2022.03.23,20:43:57, 已更新控制配置！
2022.03.23,20:43:58, 深度PID控制！
2022.03.23,20:44:01, 深度预设性能控制！
2022.03.23,20:44:07, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度30，持续时间60秒！
2022.03.23,20:44:10, 任务开始执行！
2022.03.23,20:44:42, 任务停止执行！
2022.03.23,20:45:42, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,20:46:02, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,20:46:11, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,20:46:17, 任务开始执行！
2022.03.23,20:46:19, 任务停止执行！
2022.03.23,20:46:24, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,20:46:32, 任务开始执行！
2022.03.23,20:46:45, 任务停止执行！
2022.03.23,20:47:12, 已更新控制配置！
2022.03.23,20:47:17, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,20:48:07, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,20:48:14, 任务开始执行！
2022.03.23,20:49:23, 任务停止执行！
2022.03.23,20:51:37, 读取参数成功！
2022.03.23,20:51:57, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,20:52:11, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,20:52:15, 任务开始执行！
2022.03.23,20:52:29, 任务停止执行！
2022.03.23,21:02:33, AUV切换为遥控模式！
2022.03.23,21:02:37, AUV切换为自主模式！
2022.03.23,21:02:42, 已更新控制配置！
2022.03.23,21:02:43, 深度PID控制！
2022.03.23,21:02:47, 深度预设性能控制！
2022.03.23,21:03:01, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,21:03:27, 任务开始执行！
2022.03.23,21:04:32, 任务停止执行！
2022.03.23,21:08:50, 读取参数成功！
2022.03.23,21:09:07, AUV切换为遥控模式！
2022.03.23,21:10:12, AUV切换为自主模式！
2022.03.23,21:10:15, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,21:10:31, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,21:10:43, 任务开始执行！
2022.03.23,21:11:21, 任务停止执行！
2022.03.23,21:11:31, 读取参数成功！
2022.03.23,21:11:48, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,21:11:53, 任务开始执行！
2022.03.23,21:13:22, 任务停止执行！
2022.03.23,21:20:33, AUV初始化成功！
2022.03.23,21:20:39, AUV切换为遥控模式！
2022.03.23,21:20:44, AUV切换为自主模式！
2022.03.23,21:21:01, 读取参数成功！
2022.03.23,21:21:11, 已更新控制配置！
2022.03.23,21:21:12, 深度PID控制！
2022.03.23,21:21:16, 深度预设性能控制！
2022.03.23,21:21:18, 已更新控制配置！
2022.03.23,21:21:24, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,21:21:33, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,21:21:45, 已更新控制配置！
2022.03.23,21:21:48, 任务开始执行！
2022.03.23,21:23:32, 任务停止执行！
2022.03.23,21:23:35, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间90秒！
2022.03.23,21:23:40, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间90秒！
2022.03.23,21:23:46, 任务开始执行！
2022.03.23,21:25:24, LED已打开！
2022.03.23,21:25:47, 任务停止执行！
2022.03.23,21:26:27, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间80秒！
2022.03.23,21:26:37, 深度ADRC-SMC！
2022.03.23,21:26:40, 已更新控制配置！
2022.03.23,21:26:41, 启用ESO！
2022.03.23,21:26:47, 已更新控制配置！
2022.03.23,21:26:56, 获取ADRC参数
2022.03.23,21:27:03, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间80秒！
2022.03.23,21:27:09, 任务开始执行！
2022.03.23,21:29:11, 读取参数成功！
2022.03.23,21:30:06, LED已关闭！
2022.03.23,21:50:56, AUV初始化成功！
2022.03.23,21:51:07, 读取参数成功！
2022.03.23,21:51:12, 读取参数成功！
2022.03.23,21:51:24, 任务停止执行！
2022.03.23,21:51:29, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间80秒！
2022.03.23,21:51:35, 已更新控制配置！
2022.03.23,21:51:35, 禁用ESO！
2022.03.23,21:51:36, 深度PID控制！
2022.03.23,21:51:39, 深度ADRC-SMC！
2022.03.23,21:51:43, 已更新控制配置！
2022.03.23,21:51:43, 启用ESO！
2022.03.23,21:51:50, 读取参数成功！
2022.03.23,21:51:53, 读取参数成功！
2022.03.23,21:52:01, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间80秒！
2022.03.23,21:52:13, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间60秒！
2022.03.23,21:52:20, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间40秒！
2022.03.23,21:52:35, 任务开始执行！
2022.03.23,21:52:40, 任务停止执行！
2022.03.23,21:52:45, AUV切换为调试模式！
2022.03.23,21:52:48, AUV切换为自主模式！
2022.03.23,21:52:51, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间40秒！
2022.03.23,21:52:56, 任务开始执行！
2022.03.23,21:53:07, 任务停止执行！
2022.03.23,21:53:35, 获取舵-桨控制参数
2022.03.23,21:57:08, 读取参数成功！
2022.03.23,21:57:19, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间40秒！
2022.03.23,21:57:33, 任务开始执行！
2022.03.23,21:57:41, 任务停止执行！
2022.03.23,21:57:51, 深度ADRC控制！
2022.03.23,21:57:54, 已更新控制配置！
2022.03.23,21:58:09, AUV执行定深定向：定深2.0m，定向0.0度，巡航速度90，持续时间40秒！
2022.03.23,21:58:20, 任务开始执行！
